season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1990,6,1990-10-14,Tommy Barnhardt,NOR,CLE,,W 25-20,2,66,1
1990,6,1990-10-14,Bryan Wagner,CLE,NOR,@,L 20-25,3,111,1
1990,7,1990-10-18,Brian Hansen,NWE,MIA,@,L 10-17,8,318,1
1990,8,1990-10-28,Jeff Feagles,PHI,DAL,@,W 21-20,4,153,1
1990,9,1990-11-04,Keith English,RAM,HOU,,W 17-13,2,72,1
1990,9,1990-11-04,Jeff Gossett,RAI,KAN,@,L 7-9,8,321,1
1990,10,1990-11-11,Maury Buford,CHI,ATL,,W 30-24,6,229,1
1990,12,1990-11-22,Ralf Mojsiejenko,WAS,DAL,@,L 17-27,5,220,1
1990,13,1990-12-02,Jeff Feagles,PHI,BUF,@,L 23-30,5,219,1
1990,13,1990-12-02,Harry Newsome,MIN,GNB,,W 23-7,4,162,1
1990,13,1990-12-02,Brian Hansen,NWE,KAN,,L 7-37,6,228,1
1990,14,1990-12-09,Dan Stryzinski,PIT,NWE,,W 24-3,2,72,1
1990,18,1991-01-05,Reggie Roby,MIA,KAN,,W 17-16,2,119,1
1991,5,1991-09-29,Reggie Roby,MIA,NYJ,@,L 23-41,4,181,1
1991,6,1991-10-06,Mike Horan,DEN,HOU,@,L 14-42,4,178,1
1991,8,1991-10-20,Dan Stryzinski,PIT,SEA,,L 7-27,6,229,1
1991,10,1991-11-03,Rich Camarillo,PHO,DAL,@,L 7-27,5,159,1
1991,11,1991-11-10,Kelly Goodburn,WAS,ATL,,W 56-17,5,180,2
1991,11,1991-11-10,Greg Montgomery,HOU,DAL,,W 26-23 (OT),2,91,2
1991,11,1991-11-10,Shawn McCarthy,NWE,MIA,@,L 20-30,2,89,1
1991,12,1991-11-17,John Kidd,SDG,NOR,,W 24-21,5,196,1
1991,13,1991-11-24,Shawn McCarthy,NWE,BUF,,W 16-13,4,149,1
1991,13,1991-11-24,Maury Buford,CHI,MIA,,L 13-16 (OT),4,170,1
1991,15,1991-12-08,Barry Helton,RAM,ATL,,L 14-31,4,167,1
1991,15,1991-12-08,Jeff Feagles,PHI,NYG,@,W 19-14,3,110,1
1991,16,1991-12-16,Tommy Barnhardt,NOR,RAI,,W 27-0,1,50,1
1991,17,1991-12-22,Kelly Goodburn,WAS,PHI,@,L 22-24,5,200,1
1991,18,1991-12-29,Maury Buford,CHI,DAL,,L 13-17,0,0,1
1992,1,1992-09-07,Kelly Goodburn,WAS,DAL,@,L 10-23,6,303,1
1992,2,1992-09-13,Sean Landeta,NYG,DAL,,L 28-34,6,212,1
1992,3,1992-09-20,Scott Fulhage,ATL,NOR,,L 7-10,4,135,1
1992,4,1992-09-27,Harry Newsome,MIN,CIN,@,W 42-7,3,119,1
1992,7,1992-10-18,Greg Montgomery,HOU,DEN,@,L 21-27,4,166,1
1992,7,1992-10-18,Mike Horan,DEN,HOU,,W 27-21,0,0,1
1992,9,1992-11-01,Paul McJulien,GNB,DET,@,W 27-13,1,47,1
1992,10,1992-11-08,Paul McJulien,GNB,NYG,@,L 7-27,4,145,1
1992,11,1992-11-15,Jim Arnold,DET,PIT,@,L 14-17,4,160,1
1992,12,1992-11-22,Greg Montgomery,HOU,MIA,@,L 16-19,3,100,1
1992,12,1992-11-22,Sean Landeta,NYG,PHI,,L 34-47,4,195,1
1992,14,1992-12-06,Bryan Barker,KAN,RAI,@,L 7-28,1,40,1
1992,15,1992-12-13,Mark Royals,PIT,CHI,@,L 6-30,5,241,1
1992,15,1992-12-13,Brian Hansen,CLE,DET,@,L 14-24,3,141,1
1992,16,1992-12-19,Ruben Rodriguez,NYG,KAN,,W 35-21,4,147,1
1992,21,1993-01-31,Mike Saxon,DAL,BUF,N,W 52-17,3,131,1
1993,1,1993-09-05,Sean Landeta,NYG,CHI,@,W 26-20,3,125,1
1993,6,1993-10-10,Mike Saxon,NWE,PHO,@,W 23-21,6,236,1
1993,9,1993-10-31,Dan Stryzinski,TAM,ATL,@,W 31-24,4,148,1
