season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1957,7,1957-11-10,Dick Deschaine,GNB,CHI,@,L 14-21,5,162,1
1957,10,1957-12-01,Ed Brown,CHI,WAS,,L 3-14,5,159,1
1958,3,1958-10-12,Yale Lary,DET,RAM,,L 28-42,4,134,1
1958,6,1958-11-02,Jack Johnson,CHI,RAM,@,L 35-41,3,75,1
1958,12,1958-12-14,Norm Van Brocklin,PHI,WAS,@,L 0-20,6,202,1
1959,4,1959-10-18,Max McGee,GNB,RAM,,L 6-45,6,213,1
1959,6,1959-11-01,Del Shofner,RAM,CHI,,L 21-26,3,73,1
1959,8,1959-11-15,Norm Van Brocklin,PHI,CRD,,W 27-17,6,207,1
1960,3,1960-09-23,George Herring,DEN,NYT,@,L 24-28,4,116,1
1960,3,1960-10-09,Ed Brown,CHI,RAM,,W 34-27,2,25,1
1960,5,1960-10-23,Del Shofner,RAM,CHI,,T 24-24,8,317,1
1960,7,1960-10-23,George Herring,DEN,BOS,,W 31-24,5,163,1
1960,7,1960-11-06,Yale Lary,DET,SFO,@,W 24-0,6,223,1
1960,8,1960-10-28,Tom Greene,BOS,LAC,,L 16-45,5,171,1
1960,8,1960-11-13,Dave Sherer,DAL,GNB,@,L 7-41,5,175,1
1960,9,1960-11-20,Boyd Dowler,GNB,RAM,,L 31-33,3,90,1
1960,10,1960-11-24,Boyd Dowler,GNB,DET,@,L 10-23,2,37,1
1960,11,1960-12-04,Yale Lary,DET,BAL,@,W 20-15,6,257,1
1960,11,1960-12-04,Ed Brown,CHI,GNB,,L 13-41,5,157,1
1960,12,1960-12-10,Max McGee,GNB,SFO,@,W 13-0,6,216,1
1960,13,1960-12-17,Joe Marconi,RAM,GNB,,L 21-35,4,121,1
1960,13,1960-12-18,Bobby Joe Green,PIT,STL,@,L 7-38,8,305,1
1961,1,1961-09-17,Jerry Norton,STL,NYG,@,W 21-10,6,204,1
1961,1,1961-09-17,Allen Green,DAL,PIT,,W 27-24,6,187,1
1961,3,1961-10-01,Mike Mercer,MIN,BAL,@,L 33-34,7,262,1
1961,4,1961-10-08,Don Chandler,NYG,STL,@,W 24-9,11,485,1
1961,5,1961-10-07,Tom Yewcic,BOS,SDG,,L 27-38,7,273,1
1961,5,1961-10-08,Billy Atkins,BUF,HOU,@,W 22-12,7,237,1
1961,7,1961-10-22,Wayne Crow,OAK,SDG,,L 10-41,4,116,1
1961,8,1961-10-29,Tom Yewcic,BOS,DTX,@,W 18-17,6,205,1
1961,9,1961-11-12,Don Chandler,NYG,PHI,,W 38-21,6,228,1
1961,11,1961-11-17,Wayne Crow,OAK,BOS,@,L 17-20,6,179,1
1961,14,1961-12-09,Jerry Burch,OAK,BOS,,L 21-35,1,0,1
1961,14,1961-12-10,Cotton Davidson,DTX,DEN,,W 49-21,5,123,1
1961,15,1961-12-17,Paul Maguire,SDG,BOS,,L 0-41,7,267,1
1962,2,1962-09-16,Tom Yewcic,BOS,HOU,,W 34-21,7,284,1
1962,3,1962-09-22,Billy Atkins,NYT,BUF,@,W 17-6,9,354,1
1962,4,1962-09-30,Eddie Wilson,DTX,BUF,,W 41-21,4,88,1
1962,4,1962-10-07,Sam Etcheverry,STL,NYG,,L 14-31,6,212,1
1962,4,1962-10-07,Don Chandler,NYG,STL,@,W 31-14,4,124,1
1962,6,1962-10-14,Jim Norton,HOU,NYT,,W 56-17,5,161,1
1962,6,1962-10-21,Yale Lary,DET,NYG,@,L 14-17,5,175,1
1962,7,1962-10-20,Cotton Davidson,OAK,BUF,@,L 6-14,2,47,1
1962,13,1962-12-09,Danny Villanueva,RAM,CHI,@,L 14-30,7,231,1
1962,16,1962-12-30,Max McGee,GNB,NYG,@,W 16-7,6,153,1
1963,1,1963-09-08,Tom Yewcic,BOS,NYJ,,W 38-14,4,113,1
1963,4,1963-10-06,Tommy Davis,SFO,DET,@,L 3-26,10,475,1
1963,5,1963-10-05,Curley Johnson,NYJ,BOS,,W 31-24,7,239,1
1963,10,1963-11-08,Jerrel Wilson,KAN,OAK,,L 7-22,9,264,1
1963,13,1963-12-08,Tommy Davis,SFO,CHI,@,L 7-27,7,274,1
1963,14,1963-12-08,Jim Fraser,DEN,KAN,@,L 21-52,6,118,3
1964,3,1964-09-27,Tom Yewcic,BOS,NYJ,,W 26-10,8,270,1
1964,4,1964-10-04,Jim Fraser,DEN,BOS,,L 10-39,8,302,1
1964,5,1964-10-10,Mike Mercer,OAK,NYJ,@,L 13-35,4,124,1
1964,5,1964-10-11,Jim Norton,HOU,BUF,,L 17-48,10,395,1
1964,11,1964-11-22,Billy Lothridge,DAL,WAS,@,L 16-28,7,232,1
1964,12,1964-11-29,Sam Baker,PHI,CLE,@,L 24-38,2,32,1
1964,14,1964-12-13,Curley Johnson,NYJ,HOU,@,L 17-33,2,29,1
1964,14,1964-12-13,Jim Norton,HOU,NYJ,,W 33-17,3,73,1
1964,15,1964-12-20,Curley Johnson,NYJ,KAN,@,L 7-24,7,227,1
1965,3,1965-10-03,Billy Lothridge,RAM,MIN,,L 35-38,2,36,1
1965,6,1965-10-17,Eddie Wilson,BOS,SDG,,T 13-13,6,194,1
1965,6,1965-10-24,Jackie Smith,STL,WAS,,L 20-24,3,74,1
1965,7,1965-10-24,Jim Norton,HOU,KAN,,W 38-36,7,288,1
1965,7,1965-10-31,Frank Lambert,PIT,DAL,,W 22-13,9,340,1
1965,9,1965-11-07,Tom Yewcic,BOS,BUF,,L 7-23,6,185,1
1965,12,1965-11-28,Jerrel Wilson,KAN,HOU,,W 52-21,3,113,1
1965,14,1965-12-19,John Seedborg,WAS,PIT,,W 35-14,7,247,1
1965,15,1965-12-18,Tom Yewcic,BOS,HOU,,W 42-14,2,51,1
1966,3,1966-09-18,Mike Eischeid,OAK,KAN,,L 10-32,7,245,1
1966,4,1966-09-25,Jim Fraser,BOS,KAN,,L 24-43,6,214,1
1966,5,1966-10-02,Jim Fraser,BOS,NYJ,,T 24-24,11,392,1
1966,10,1966-11-06,Bob Scarpitto,DEN,BOS,@,W 17-10,4,108,1
1966,10,1966-11-06,Wahoo McDaniel,MIA,BUF,,L 0-29,7,222,1
1966,10,1966-11-13,Jackie Smith,STL,PIT,@,L 9-30,2,24,1
1966,12,1966-11-20,Jerrel Wilson,KAN,BOS,,T 27-27,2,63,1
1966,12,1966-11-20,Tom Yewcic,BOS,KAN,@,T 27-27,4,125,1
1966,14,1966-12-11,Danny Villanueva,DAL,WAS,,L 31-34,8,217,1
1967,6,1967-10-07,Mike Eischeid,OAK,NYJ,@,L 14-27,7,299,1
1967,7,1967-10-29,Gary Collins,CLE,NYG,@,L 34-38,2,52,1
1967,8,1967-11-05,Steve Spurrier,SFO,RAM,,L 7-17,6,178,1
1967,9,1967-10-29,Jim Norton,HOU,BUF,,W 10-3,4,130,1
1967,9,1967-11-12,Jon Kilgore,RAM,PHI,,W 33-17,5,181,1
1967,11,1967-11-12,Bob Scarpitto,DEN,HOU,,L 18-20,10,393,1
1967,11,1967-11-26,Jim Elliott,PIT,MIN,,L 27-41,7,244,1
1967,13,1967-12-09,Donny Anderson,GNB,RAM,@,L 24-27,6,170,1
1967,13,1967-12-10,Earl Morrall,NYG,DET,,L 7-30,7,185,1
1967,13,1967-12-10,Gary Collins,CLE,STL,@,W 20-16,7,230,1
1967,13,1967-12-10,Jim Elliott,PIT,WAS,,L 10-15,7,216,1
1967,16,1967-12-17,Larry Seiple,MIA,BOS,,W 41-32,5,182,1
1967,16,1967-12-17,Jerrel Wilson,KAN,DEN,@,W 38-24,3,115,1
1968,2,1968-09-22,Mike Bragg,WAS,NOR,@,L 17-37,6,233,1
1968,3,1968-09-22,Paul Maguire,BUF,CIN,@,L 23-34,6,234,1
1968,4,1968-09-29,Bob Scarpitto,BOS,DEN,@,W 20-17,9,347,1
1968,5,1968-10-06,Bob Scarpitto,BOS,OAK,@,L 10-41,10,436,1
1968,5,1968-10-13,Tom McNeill,NOR,MIN,,W 20-17,5,174,1
1968,7,1968-10-20,Jim Norton,HOU,NYJ,,L 14-20,9,358,1
1968,7,1968-10-27,Bobby Joe Green,CHI,MIN,,W 26-24,1,0,1
1968,7,1968-10-27,David Lee,BAL,RAM,,W 27-10,6,210,1
1968,7,1968-10-27,Willie Williams,NYG,WAS,@,W 13-10,5,143,1
1968,8,1968-10-27,Terry Swanson,BOS,NYJ,@,L 14-48,6,220,1
1968,8,1968-11-03,Mike Bragg,WAS,MIN,@,L 14-27,8,348,1
1968,12,1968-11-24,Joe DiVito,DEN,BUF,,W 34-32,8,242,1
1968,13,1968-11-28,Jim Norton,HOU,KAN,@,L 10-24,7,223,1
1968,13,1968-12-08,Jon Kilgore,CHI,RAM,@,W 17-16,7,192,2
1968,14,1968-12-08,Curley Johnson,NYJ,CIN,,W 27-14,5,160,1
1968,15,1968-12-15,Terry Swanson,BOS,HOU,@,L 17-45,7,266,1
1969,3,1969-10-05,Bobby Joe Green,CHI,NYG,@,L 24-28,2,78,1
1969,5,1969-10-12,Dale Livingston,CIN,NYJ,,L 7-21,5,180,1
1969,5,1969-10-12,Gus Hollomon,DEN,OAK,,L 14-24,6,210,1
1969,7,1969-11-02,Mike Bragg,WAS,BAL,@,L 17-41,3,88,1
1969,7,1969-11-02,Curley Johnson,NYG,PHI,,L 20-23,7,240,1
1969,8,1969-11-02,Larry Seiple,MIA,NYJ,@,L 31-34,5,176,1
1969,9,1969-11-16,Curley Johnson,NYG,NOR,,L 24-25,2,42,1
1969,10,1969-11-16,Horst Muhlmann,CIN,BOS,,L 14-25,2,38,1
1969,10,1969-11-23,King Hill,STL,PHI,,L 30-34,4,104,1
1969,11,1969-11-27,Lem Barney,DET,MIN,,L 0-27,10,333,1
1969,11,1969-11-30,Mike Bragg,WAS,RAM,,L 13-24,8,317,1
1969,12,1969-11-30,Larry Seiple,MIA,BOS,,L 23-38,6,169,1
1969,12,1969-11-30,Paul Maguire,BUF,CIN,,W 16-13,7,233,1
1969,12,1969-12-07,Ollie Cordill,NOR,ATL,@,L 17-45,5,162,1
1969,13,1969-12-14,Don Cockroft,CLE,STL,@,W 27-21,7,220,1
1970,2,1970-09-27,Julian Fagan,NOR,MIN,@,L 0-26,8,340,1
1970,3,1970-10-04,Bill Johnson,NYG,NOR,@,L 10-14,2,38,1
1970,3,1970-10-04,Paul Maguire,BUF,NYJ,,W 34-31,5,148,1
1970,3,1970-10-04,Dennis Partee,SDG,RAM,@,L 10-37,6,234,1
1970,5,1970-10-18,Ron Widby,DAL,MIN,@,L 13-54,4,109,1
1970,7,1970-11-01,Julian Fagan,NOR,RAM,,L 17-30,7,262,1
1970,8,1970-11-08,Mike Bragg,WAS,MIN,,L 10-19,2,41,1
1970,9,1970-11-15,Herman Weaver,DET,MIN,@,L 20-24,3,84,1
1970,9,1970-11-15,Spike Jones,HOU,SFO,,L 20-30,7,293,1
1970,11,1970-11-26,Mike Eischeid,OAK,DET,@,L 14-28,6,186,1
1970,12,1970-12-06,David Lee,BAL,PHI,,W 29-10,3,92,1
1970,13,1970-12-12,Don Cockroft,CLE,DAL,,L 2-6,5,160,1
1970,14,1970-12-19,Steve O'Neal,NYJ,BAL,@,L 20-35,8,299,1
1970,14,1970-12-20,Tom Janik,BOS,CIN,@,L 7-45,7,251,1
1970,14,1970-12-20,Terry Bradshaw,PIT,PHI,@,L 20-30,3,52,1
1971,2,1971-09-26,Don Cockroft,CLE,BAL,@,W 14-13,5,166,1
1971,3,1971-10-03,Herman Weaver,DET,ATL,,W 41-38,3,52,1
1971,4,1971-10-10,Chuck Latourette,STL,ATL,@,W 26-9,6,225,1
1971,6,1971-10-24,Larry Seiple,MIA,NYJ,@,W 30-14,5,152,1
1971,7,1971-10-31,Billy Lothridge,ATL,CLE,@,W 31-14,4,132,1
1971,7,1971-10-31,Billy Van Heusen,DEN,PHI,@,L 16-17,4,141,1
1971,8,1971-11-07,Don Cockroft,CLE,PIT,@,L 9-26,7,233,1
1971,9,1971-11-14,Tom McNeill,PHI,DAL,@,L 7-20,5,208,1
1971,9,1971-11-14,Spike Jones,BUF,NWE,@,L 33-38,9,318,1
1971,11,1971-11-25,Jerrel Wilson,KAN,DET,@,L 21-32,2,50,1
1971,11,1971-11-28,Jim McCann,SFO,NYJ,@,W 24-21,5,153,1
1971,12,1971-12-04,Ron Widby,DAL,NYJ,,W 52-10,2,46,1
1971,12,1971-12-05,Mike Bragg,WAS,NYG,,W 23-7,4,115,1
1971,13,1971-12-11,Herman Weaver,DET,MIN,@,L 10-29,5,144,1
1971,15,1971-12-26,Steve Spurrier,SFO,WAS,,W 24-20,10,337,1
1972,1,1972-09-17,Jerry DePoyster,OAK,PIT,@,L 28-34,7,223,1
1972,1,1972-09-18,Mike Eischeid,MIN,WAS,,L 21-24,4,123,1
1972,2,1972-09-24,Billy Van Heusen,DEN,SDG,@,L 14-37,5,118,1
1972,3,1972-10-01,Jim McCann,SFO,NOR,@,W 37-2,5,188,1
1972,3,1972-10-01,Bobby Walden,PIT,STL,@,W 25-19,4,150,1
1972,3,1972-10-01,Pat Studstill,NWE,WAS,,W 24-23,4,110,1
1972,4,1972-10-09,Jerry DePoyster,OAK,HOU,@,W 34-0,5,144,1
1972,5,1972-10-15,Bobby Walden,PIT,HOU,,W 24-7,7,275,1
1972,6,1972-10-22,Tom Blanchard,NYG,STL,,W 27-21,3,78,1
1972,7,1972-10-29,David Lee,BAL,MIA,,L 0-23,5,156,1
1972,7,1972-10-29,Julian Fagan,NOR,PHI,,W 21-3,5,138,1
1972,8,1972-11-05,Spike Jones,BUF,MIA,,L 16-30,5,144,1
1972,8,1972-11-05,Steve O'Neal,NYJ,WAS,,L 17-35,7,272,1
1972,11,1972-11-26,Dan Pastorini,HOU,SDG,@,L 20-34,5,143,1
1972,13,1972-12-10,Jerrel Wilson,KAN,BAL,,W 24-10,4,127,1
1972,14,1972-12-17,Jerry DePoyster,OAK,CHI,,W 28-21,2,40,1
1972,14,1972-12-17,Ron Widby,GNB,NOR,@,W 30-20,3,44,2
1972,15,1972-12-24,Don Cockroft,CLE,MIA,@,L 14-20,6,208,1
1973,1,1973-09-16,Don Cockroft,CLE,BAL,,W 24-14,7,238,1
1973,3,1973-09-30,Julian Fagan,NYJ,BUF,@,L 7-9,8,301,1
1973,4,1973-10-07,Dave Chapple,RAM,HOU,@,W 31-26,4,127,1
1973,4,1973-10-07,Dennis Partee,SDG,PIT,@,L 21-38,5,201,1
1973,5,1973-10-14,Julian Fagan,NYJ,NWE,@,W 9-7,6,213,1
1973,5,1973-10-14,Jim McCann,NYG,WAS,,L 3-21,6,167,1
1973,6,1973-10-21,Jim McCann,NYG,DAL,@,L 28-45,6,127,2
1973,9,1973-11-11,Gary Keithley,STL,GNB,@,L 21-25,3,61,1
1973,9,1973-11-11,David Lee,BAL,MIA,@,L 0-44,11,386,2
1973,10,1973-11-18,Jerrel Wilson,KAN,HOU,,W 38-14,6,248,1
1973,10,1973-11-18,Tom Blanchard,NYG,STL,,W 24-13,6,225,1
1973,11,1973-11-22,Herman Weaver,DET,WAS,,L 0-20,7,241,1
1973,11,1973-11-25,Dennis Partee,SDG,OAK,@,L 3-31,6,218,1
1973,13,1973-12-09,Dennis Partee,SDG,DEN,,L 28-42,6,206,1
1973,14,1973-12-15,Bobby Walden,PIT,SFO,@,W 37-14,9,374,1
1973,15,1973-12-22,Mike Eischeid,MIN,WAS,,W 27-20,6,191,1
1974,1,1974-09-15,Bob Parsons,CHI,DET,,W 17-9,8,264,1
1974,2,1974-09-22,Mike Eischeid,MIN,DET,@,W 7-6,7,228,1
1974,3,1974-09-29,Herman Weaver,DET,GNB,@,L 19-21,7,209,1
1974,4,1974-10-06,Dave Chapple,RAM,DET,,W 16-13,5,147,1
1974,6,1974-10-20,Jerrel Wilson,KAN,MIA,@,L 3-9,5,130,1
1974,6,1974-10-20,David Lee,BAL,NYJ,@,W 35-20,3,70,1
1974,6,1974-10-20,Dave Jennings,NYG,WAS,@,L 3-24,4,102,1
1974,9,1974-11-10,John James,ATL,RAM,@,L 0-21,9,348,1
1974,9,1974-11-10,Merritt Kersey,PHI,WAS,,L 20-27,9,297,1
1974,10,1974-11-17,Mike Bragg,WAS,DAL,,W 28-21,9,315,1
1974,10,1974-11-17,Dave Jennings,NYG,DET,@,L 19-20,3,73,1
1974,12,1974-12-01,Jerrel Wilson,KAN,STL,@,W 17-13,8,340,1
1974,13,1974-12-08,Tom Wittum,SFO,GNB,,W 7-6,5,133,1
1974,13,1974-12-08,Billy Van Heusen,DEN,HOU,,W 37-14,4,115,1
1974,13,1974-12-08,Merritt Kersey,PHI,NYG,@,W 20-7,3,42,1
1974,14,1974-12-15,Herman Weaver,DET,PHI,@,L 17-28,5,171,1
1974,17,1975-01-12,Bobby Walden,PIT,MIN,N,W 16-6,7,243,1
1975,1,1975-09-21,Steve Broussard,GNB,DET,,L 16-30,9,177,3
1975,1,1975-09-21,Herman Weaver,DET,GNB,@,W 30-16,5,121,1
1975,1,1975-09-21,Neil Clabo,MIN,SFO,,W 27-17,5,188,1
1975,1,1975-09-21,Tom Blanchard,NOR,WAS,@,L 3-41,8,295,1
1975,2,1975-09-28,Marv Bateman,BUF,PIT,@,W 30-21,8,275,1
1975,2,1975-09-28,Tom Wittum,SFO,RAM,,L 14-23,6,229,1
1975,3,1975-10-05,David Lee,BAL,RAM,@,L 13-24,7,252,1
1975,3,1975-10-06,Mitch Hoopes,DAL,DET,@,W 36-10,5,163,1
1975,4,1975-10-12,Marv Bateman,BUF,BAL,@,W 38-31,2,46,1
1975,4,1975-10-12,Bobby Walden,PIT,DEN,,W 20-9,7,225,1
1975,4,1975-10-12,Greg Gantt,NYJ,MIN,@,L 21-29,4,149,1
1975,4,1975-10-12,Neil Clabo,MIN,NYJ,,W 29-21,2,36,1
1975,4,1975-10-12,John James,ATL,SFO,@,W 17-3,8,307,1
1975,5,1975-10-19,Tom Blanchard,NOR,SFO,@,L 21-35,6,206,1
1975,6,1975-10-25,Jeff West,STL,NYG,@,W 20-13,9,344,1
1975,6,1975-10-26,Tom Wittum,SFO,NWE,@,L 16-24,5,171,1
1975,7,1975-11-02,Don Cockroft,CLE,BAL,@,L 7-21,8,282,1
1975,8,1975-11-09,Tom Wittum,SFO,RAM,@,W 24-23,5,176,1
1975,9,1975-11-16,Greg Gantt,NYJ,BAL,@,L 19-52,5,151,1
1975,10,1975-11-23,Jerrel Wilson,KAN,DET,,W 24-21 (OT),4,79,1
1975,11,1975-11-30,Dave Green,CIN,HOU,,W 23-19,6,174,1
1975,13,1975-12-14,Jim McCann,KAN,CLE,@,L 14-40,6,175,1
1975,13,1975-12-14,Tom Blanchard,NOR,NYG,@,L 14-28,8,278,1
1975,13,1975-12-15,Dennis Partee,SDG,NYJ,,W 24-16,2,31,1
1975,14,1975-12-21,Greg Gantt,NYJ,DAL,,L 21-31,8,229,1
1975,17,1976-01-18,Mitch Hoopes,DAL,PIT,N,L 17-21,7,245,1
1976,1,1976-09-12,Bob Parsons,CHI,DET,,W 10-3,9,331,1
1976,1,1976-09-12,Mitch Hoopes,SDG,KAN,@,W 30-16,3,139,1
1976,2,1976-09-19,Tom Wittum,SFO,CHI,,L 12-19,8,318,1
1976,2,1976-09-19,Don Cockroft,CLE,PIT,@,L 14-31,7,293,1
1976,3,1976-09-26,Don Cockroft,CLE,DEN,@,L 13-44,6,239,1
1976,3,1976-09-26,Rick Engles,SEA,SFO,,L 21-37,3,119,1
1976,4,1976-10-03,Mitch Hoopes,SDG,DEN,@,L 0-26,6,264,1
1976,5,1976-10-10,Dave Jennings,NYG,DAL,,L 14-24,4,181,1
1976,5,1976-10-10,Danny White,DAL,NYG,@,W 24-14,4,146,1
1976,5,1976-10-10,David Beverly,GNB,SEA,,W 27-20,4,133,1
1976,6,1976-10-17,Rusty Jackson,RAM,CHI,,W 20-12,5,164,1
1976,6,1976-10-17,Terry Joyce,STL,DAL,,W 21-17,4,152,1
1976,6,1976-10-17,Dave Jennings,NYG,MIN,@,L 7-24,5,229,1
1976,8,1976-10-31,Marv Bateman,BUF,NYJ,,L 14-19,7,299,1
1976,9,1976-11-07,Rick Engles,SEA,ATL,,W 30-13,7,280,1
1976,9,1976-11-07,Danny White,DAL,NYG,,W 9-3,3,109,1
1976,10,1976-11-14,Rusty Jackson,RAM,STL,,L 28-30,4,176,1
1976,11,1976-11-21,Dave Jennings,NYG,DEN,@,L 13-14,5,208,1
1976,11,1976-11-21,Billy Van Heusen,DEN,NYG,,W 14-13,6,239,1
1976,11,1976-11-21,Spike Jones,PHI,OAK,,L 7-26,6,226,2
1976,11,1976-11-21,Skip Butler,HOU,PIT,@,L 16-32,6,194,1
1976,12,1976-11-25,Terry Joyce,STL,DAL,@,L 14-19,4,163,1
1976,13,1976-12-05,Spike Jones,PHI,DAL,,L 7-26,9,307,1
1976,13,1976-12-05,Jerrel Wilson,KAN,DEN,@,L 16-17,6,278,1
1976,13,1976-12-05,Don Cockroft,CLE,HOU,,W 13-10,4,146,1
1976,13,1976-12-05,Herman Weaver,DET,NYG,@,L 10-24,4,141,1
1976,14,1976-12-12,Tom Wittum,SFO,NOR,@,W 27-7,7,296,1
1976,15,1976-12-19,Rusty Jackson,RAM,DAL,@,W 14-12,7,253,2
1976,16,1976-12-26,Rusty Jackson,RAM,MIN,@,L 13-24,6,206,1
1976,17,1977-01-09,Ray Guy,OAK,MIN,N,W 32-14,4,162,1
1977,1,1977-09-18,Rick Engles,SEA,BAL,,L 14-29,4,137,1
1977,1,1977-09-18,Mitch Hoopes,DET,CHI,@,L 20-30,6,235,1
1977,1,1977-09-18,Jeff West,SDG,OAK,@,L 0-24,7,262,1
1977,1,1977-09-18,David Lee,BAL,SEA,@,W 29-14,4,143,1
1977,2,1977-09-25,Tom Wittum,SFO,MIA,,L 15-19,3,133,1
1977,2,1977-09-25,Wilbur Summers,DET,NOR,,W 23-19,4,134,1
1977,2,1977-09-25,Larry Seiple,MIA,SFO,@,W 19-15,3,115,1
1977,3,1977-10-02,Cliff Parsley,HOU,MIA,@,L 7-27,5,223,1
1977,3,1977-10-02,Tom Wittum,SFO,RAM,@,L 14-34,6,226,1
1977,4,1977-10-09,Terry Joyce,STL,DAL,,L 24-30,6,204,1
1977,5,1977-10-16,Marv Bateman,BUF,ATL,,W 3-0,7,254,1
1977,5,1977-10-16,Jerrel Wilson,KAN,BAL,,L 6-17,5,189,1
1977,5,1977-10-16,Tom Wittum,SFO,NYG,@,L 17-20,3,97,1
1977,5,1977-10-16,Danny White,DAL,WAS,,W 34-16,4,154,1
1977,5,1977-10-17,Bobby Walden,PIT,CIN,,W 20-14,5,197,1
1977,6,1977-10-23,Bob Parsons,CHI,ATL,,L 10-16,7,289,1
1977,6,1977-10-23,Mike Patrick,NWE,BAL,,W 17-3,4,135,1
1977,6,1977-10-23,Spike Jones,PHI,DAL,,L 10-16,7,212,1
1977,6,1977-10-23,Dave Green,TAM,GNB,,L 0-13,8,310,1
1977,6,1977-10-23,Tom Blanchard,NOR,STL,@,L 31-49,2,97,1
1977,7,1977-10-30,Cliff Parsley,HOU,CIN,@,L 10-13 (OT),6,249,1
1977,8,1977-11-06,Mike Patrick,NWE,BUF,,L 14-24,5,225,1
1977,8,1977-11-06,Herman Weaver,SEA,OAK,@,L 7-44,5,186,1
1977,9,1977-11-13,Spike Jones,PHI,WAS,,L 14-17,7,244,1
1977,10,1977-11-20,Tom Blanchard,NOR,ATL,,W 21-20,5,235,1
1977,10,1977-11-20,Bob Parsons,CHI,MIN,,W 10-7,4,156,1
1977,12,1977-12-04,Mike Patrick,NWE,ATL,@,W 16-10,3,111,1
1977,12,1977-12-04,David Beverly,GNB,DET,,W 10-9,5,182,1
1977,13,1977-12-11,David Lee,BAL,DET,,L 10-13,5,205,1
1977,13,1977-12-11,Marv Bateman,BUF,NYJ,@,W 14-10,7,244,1
1977,14,1977-12-18,Pat McInally,CIN,HOU,@,L 16-21,5,238,1
1977,15,1977-12-24,Rick Engles,PIT,DEN,@,L 21-34,5,204,1
1977,15,1977-12-24,David Lee,BAL,OAK,,L 31-37 (2OT),12,438,1
1978,1,1978-09-03,Cliff Parsley,HOU,ATL,@,L 14-20,9,334,1
1978,1,1978-09-03,Zenon Andrusyshyn,KAN,CIN,@,W 24-23,5,181,1
1978,1,1978-09-03,Rick Engles,PHI,RAM,,L 14-16,8,294,1
1978,2,1978-09-11,Mike Wood,MIN,DEN,,W 12-9 (OT),5,182,1
1978,4,1978-09-24,Dave Green,TAM,ATL,,W 14-9,9,389,1
1978,4,1978-09-24,Rusty Jackson,BUF,BAL,,W 24-17,7,279,1
1978,4,1978-09-24,Jeff West,SDG,GNB,,L 3-24,2,85,1
1978,4,1978-09-24,Danny White,DAL,STL,,W 21-12,5,226,1
1978,4,1978-09-25,Mike Wood,MIN,CHI,@,W 24-20,2,80,1
1978,5,1978-10-01,Dave Green,TAM,MIN,,L 7-24,4,169,1
1978,5,1978-10-01,Glen Walker,RAM,NOR,@,W 26-20,2,80,1
1978,5,1978-10-01,Tom Blanchard,NOR,RAM,,L 20-26,4,201,1
1978,6,1978-10-08,Steve Little,STL,BAL,,L 17-30,6,197,1
1978,6,1978-10-08,Rusty Jackson,BUF,NYJ,@,L 14-45,4,145,1
1978,6,1978-10-08,Tom Skladany,DET,WAS,,L 19-21,5,241,1
1978,7,1978-10-15,Jeff West,SDG,MIA,,L 21-28,3,123,1
1978,8,1978-10-22,Mike Connell,SFO,ATL,,L 17-20,6,220,1
1978,9,1978-10-29,David Lee,BAL,MIA,@,L 8-26,5,212,1
1978,9,1978-10-29,Tom Blanchard,NOR,NYG,,W 28-17,6,208,1
1978,9,1978-10-30,Glen Walker,RAM,ATL,@,L 7-15,4,156,1
1978,11,1978-11-12,Greg Coleman,MIN,CHI,,W 17-14,5,178,1
1978,12,1978-11-19,John James,ATL,CHI,@,L 7-13,4,118,1
1978,13,1978-11-26,Ray Guy,OAK,SEA,,L 16-17,5,199,1
1978,14,1978-12-03,Ray Guy,OAK,DEN,,L 6-21,2,81,1
1978,15,1978-12-10,Mike Bragg,WAS,ATL,@,L 17-20,9,295,1
1978,16,1978-12-17,David Lee,BAL,BUF,,L 14-21,4,145,1
1978,18,1978-12-31,Glen Walker,RAM,MIN,,W 34-10,3,124,1
1979,1,1979-09-02,Max Runager,PHI,NYG,,W 23-17,6,208,1
1979,1,1979-09-02,Johnny Evans,CLE,NYJ,@,W 25-22 (OT),2,86,1
1979,1,1979-09-02,Ken Clark,RAM,OAK,,L 17-24,4,124,1
1979,2,1979-09-09,Pat McInally,CIN,BUF,@,L 24-51,7,274,1
1979,2,1979-09-09,Ray Guy,OAK,SDG,@,L 10-30,5,214,1
1979,3,1979-09-16,Johnny Evans,CLE,BAL,,W 13-10,5,215,1
1979,5,1979-09-30,Herman Weaver,SEA,KAN,,L 6-24,3,102,2
1979,5,1979-09-30,George Roberts,MIA,NYJ,@,L 27-33,5,195,1
1979,8,1979-10-21,Dan Melville,SFO,ATL,,W 20-15,4,148,1
1979,11,1979-11-11,Eddie Hare,NWE,DEN,@,L 10-45,8,327,1
1979,11,1979-11-11,John James,ATL,NYG,@,L 3-24,8,276,1
1979,11,1979-11-11,Bob Parsons,CHI,RAM,,W 27-23,7,256,1
1979,11,1979-11-11,Pat McInally,CIN,SDG,,L 24-26,7,236,1
1979,12,1979-11-18,Herman Weaver,SEA,NOR,,W 38-24,2,63,1
1979,12,1979-11-18,Bucky Dilts,BAL,NWE,@,L 21-50,4,136,1
1979,13,1979-11-25,Tom Blanchard,TAM,MIN,,L 22-23,4,157,1
1979,14,1979-12-02,Tom Blanchard,TAM,CHI,,L 0-14,6,231,1
